Test,Fires Extinguished,Earthquakes Resolved,Attacks Controlled,Agents Evacuated,Average Evacuation Time,Problems Solved,Average Responder Time
1,2,2,0,0,2,2,4,4,5,25.65849733352661,8.621328401565552
2,2,4,1,1,1,1,4,4,4,40.26530075073242,8.891480147838593
3,0,0,1,1,1,1,4,4,2,21.630385398864746,2.2583309412002563
4,4,6,2,4,2,2,4,4,9,55.98476719856262,9.630394591225517
5,2,2,0,1,0,0,4,4,2,20.51221203804016,5.004026770591736
6,0,0,1,1,1,1,4,4,2,25.554365396499634,5.754313349723816
7,0,1,0,0,0,0,4,4,0,9.252632141113281,0
8,2,4,0,0,1,1,4,4,3,30.232083559036255,6.173301776250203
9,3,3,2,2,1,2,4,4,6,40.35240387916565,7.844192186991374
10,0,2,0,1,0,0,4,4,0,23.368916273117065,0
11,1,1,1,1,1,2,4,4,3,28.204995155334473,8.691295941670736
12,0,0,2,5,2,2,4,4,4,71.59823513031006,11.139779031276703
13,3,3,0,1,2,2,4,4,9,21.42728328704834,0.6729376051161025
14,1,3,0,0,0,0,4,4,1,35.84366798400879,13.026036739349365
15,2,2,1,1,4,4,4,4,7,51.38921499252319,7.688270194189889
16,1,2,0,1,1,1,4,4,3,20.700850009918213,6.688232898712158
17,1,3,1,2,2,2,4,4,4,43.33723306655884,8.643668413162231
18,3,4,1,3,0,1,4,4,4,37.82262182235718,6.786099791526794
19,1,2,1,3,0,0,4,4,2,23.48108720779419,9.271207928657532
20,2,2,0,0,1,3,4,4,3,37.61653661727905,9.033740123112997
21,3,7,1,1,0,0,4,4,4,33.642749309539795,6.419652998447418
22,4,5,4,5,1,2,4,4,10,85.04122853279114,10.517874193191528
23,4,4,1,2,1,1,4,4,7,40.2041552066803,7.034222602844238
24,2,4,3,3,2,4,4,4,7,54.956849575042725,7.865109750202724
25,1,1,1,1,1,1,4,4,3,27.57908821105957,7.453372240066528
26,1,2,0,0,3,3,4,4,4,46.105491161346436,4.786885499954224
27,3,3,0,1,0,0,4,4,3,48.40687608718872,6.886074622472127
28,2,2,0,0,1,1,4,4,3,26.70263695716858,1.988153060277303
29,1,1,0,0,1,1,4,4,2,32.066786766052246,6.546629905700684
30,3,3,2,4,0,1,4,4,6,52.29327344894409,10.446194569269815
31,1,1,1,1,2,3,4,4,6,34.09235620498657,5.582960764567058
32,3,3,1,2,2,2,4,4,7,48.13166928291321,8.102549859455653
33,4,5,1,2,0,0,4,4,5,42.7070734500885,7.4837103366851805
34,3,3,3,6,0,0,4,4,6,79.44010758399963,4.114004651705424
35,1,1,2,2,0,0,4,4,4,25.343695640563965,4.049042761325836
36,1,1,0,1,0,0,4,4,2,15.196044921875,3.5762786865234375e-05
37,2,2,1,1,1,1,4,4,4,37.05719757080078,3.4360777139663696
38,1,1,0,0,0,0,4,4,2,19.602811813354492,5.374391198158264
39,2,3,1,2,2,2,4,4,5,60.47198247909546,5.454134559631347
40,2,3,0,0,1,1,4,4,3,41.76055192947388,7.566723744074504
41,0,0,0,0,0,0,4,4,0,27.592572927474976,0
42,0,1,0,0,1,1,4,4,1,20.924622297286987,4.058701753616333
43,1,1,3,3,1,1,4,4,5,57.449477434158325,9.161792182922364
44,2,4,1,1,0,0,4,4,4,43.22539782524109,11.048568487167358
45,0,1,1,1,0,0,4,4,1,21.25300121307373,3.0166051387786865
46,0,1,1,2,1,1,4,4,2,32.56385159492493,12.039108633995056
47,3,5,1,1,2,4,4,4,6,62.835758686065674,7.873784025510152
48,3,3,3,3,2,2,4,4,8,49.60404348373413,9.667231887578964
49,2,4,2,3,1,2,4,4,5,52.78770923614502,5.760004901885987
50,1,1,1,1,0,0,4,4,2,44.02290439605713,8.160475015640259

Summary,86/122,49/77,48/61,200/200,38.54590508937836,200,6.554254193080794
